family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,48,1250.9,67.4914675767918,35.858585858585855,79.15087187263077,78.32105158334993,78.18280739934713,54.60404881229318,86.9445848127413,49.23333333333333,50.649350649350644,10.832859066914756,1059.4705174388696,-0.589090142909827,0.21920500748199012,-0.295164633676439,-0.18494256771391843
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,96,2501.9,67.66211604095564,37.37373737373738,79.22668688400303,78.460466042621,78.23721436343853,54.689206253323576,86.9608195144439,49.199999999999996,53.896103896103895,11.986004783064498,1050.813229210227,-0.33630967922688815,0.48426059302522284,-0.03792048931702963,0.07397545689916735
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,144,3752.8,67.66211604095564,38.38383838383838,80.2122820318423,78.54013144791874,78.29162132752992,54.84245574008513,86.88463277437201,48.46666666666667,51.94805194805194,12.071525079580644,1060.0972510712916,-0.28693851955364996,-0.30524095216004454,-0.2935939495923389,-0.2960897358568473
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,192,5003.7,67.66211604095564,38.88888888888889,80.3639120545868,78.2513443537144,77.74755168661589,54.876441249630595,87.57031343501909,47.266666666666666,47.682119205298015,13.633630198651952,1040.4282809784033,-0.6513256745659001,-0.6419563329735554,-0.6479186412595929,-0.6466410037697277
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,240,6254.7,67.4914675767918,38.38383838383838,80.2122820318423,78.4106751643099,77.58433079434167,55.45883618193932,86.596120515787,47.99999999999999,50.98039215686274,14.013239821670668,1032.8320542350632,-1.0783928036040664,-0.7955737741724791,-0.9755495201743982,-0.9369832888882728
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,288,7505.6,68.00341296928327,38.88888888888889,81.80439727065959,78.39075881298547,77.74755168661589,56.08085097733826,86.55240317912029,48.733333333333334,51.62337662337663,12.913247381827755,1068.399352791196,-0.8412082212368063,-0.031794970836252046,-0.5468761301820592,-0.43650159603652916
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,336,8756.5,68.00341296928327,38.88888888888889,81.50113722517058,78.6197968532165,77.63873775843308,56.228881831656494,86.5361684774177,47.4,54.3046357615894,12.72217047180478,1022.8123452678916,-1.0037612533368778,-0.839926497141985,-0.9441849783569167,-0.9218438752394313
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,384,10007.5,68.1740614334471,38.38383838383838,81.12206216830933,78.59988050189205,77.63873775843308,56.420145259345546,87.15940371547495,47.93333333333334,54.054054054054056,13.316316454468268,1064.4422650145782,-1.047031044598637,-0.2606971288344484,-0.7610914388662047,-0.6538640867165427
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,432,11258.4,68.1740614334471,37.878787878787875,81.42532221379834,78.57996415056762,77.42110990206747,56.50156628651939,87.28180117643409,45.83333333333333,55.5921052631579,12.83395678319597,1037.0701356745733,-1.1400445602844953,-0.3770977770029258,-0.8626093663639246,-0.7585711686437105
qwen3,8b,ultrafeedback_binarized,1e-06,0.01,478,12457.2,68.00341296928327,37.878787878787875,81.57695223654284,78.74925313682533,77.52992383025027,56.5061912290317,86.87089145688994,46.93333333333333,53.59477124183007,13.026254630664372,1016.0688356901928,-1.0846706203263037,-0.5266215862734169,-0.8817436988525269,-0.8056461032998603
