family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,48,331.2,46.075085324232084,32.82828282828283,37.90750568612585,53.4654451304521,69.36887921653971,43.122022988326975,56.583476287361975,50.39999999999999,51.33333333333333,1.5056312887137495,628.7738473222528,0.2430883474701795,-0.2422958574584946,0.06658500022338892,0.00039624500584244104
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,96,662.4,45.648464163822524,32.323232323232325,37.6800606520091,53.335988846843264,69.1512513601741,43.01242739766104,56.28122271129492,50.7,54.63576158940398,1.563280879828512,607.827759009854,-0.7833194884679202,-0.6787585789182236,-0.7452973395407578,-0.7310390336930719
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,144,993.6,45.81911262798635,32.323232323232325,38.28658074298711,53.61481776538538,69.26006528835691,43.06315358364536,57.299132967193714,53.53333333333333,57.14285714285714,1.5746970405411318,573.6280048814945,-0.21399249753951627,-0.9592567059136541,-0.48499766422102086,-0.5866246017265851
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,192,1324.8,46.160409556313994,31.818181818181817,37.9833206974981,53.455486954789876,69.1512513601741,43.17214423659943,57.37781309148614,54.633333333333326,53.61842105263158,1.635575079635489,601.3589444940562,0.193648427270909,-0.8472182470786129,-0.18484854521982622,-0.32678490990385195
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,240,1656.0,45.989761092150175,31.818181818181817,36.92191053828658,53.41565425214101,69.0424374319913,43.009695667817226,56.62968700824922,52.96666666666667,59.60264900662252,1.8545093648536644,632.9279989554319,-0.6708167748680782,-0.3035248226820135,-0.5372560649822365,-0.4871707987750459
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,288,1987.3,45.90443686006826,31.818181818181817,36.61865049279757,53.525194184425416,69.26006528835691,43.122290238048464,58.915289210406165,52.266666666666666,54.276315789473685,1.949085233929398,583.7991744276521,-0.1382174839465198,-0.9066656905616203,-0.41765319544291996,-0.5224415872540701
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,336,2318.5,45.90443686006826,31.313131313131315,37.60424564063685,53.43557060346544,69.0968443960827,43.05328695845118,57.95483760865614,50.43333333333333,54.966887417218544,1.659820055714726,600.0299556047888,-0.3440787966914226,-0.834531511255381,-0.5224252383510438,-0.5893051539734018
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,384,2649.7,45.73378839590443,32.323232323232325,37.07354056103108,53.40569607647879,69.2056583242655,43.10822103106224,57.467741149040094,51.43333333333333,59.74025974025974,1.694401760740789,607.2561327107153,-0.4588623813457893,-0.556547627056353,-0.4943842888769034,-0.5077050042010711
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,432,2980.9,45.81911262798635,32.323232323232325,37.75587566338135,53.44552877912766,69.47769314472254,43.09107339727899,56.909444717793235,51.0,55.960264900662246,2.0789758812354355,584.6451505078737,-0.06693627488098171,-0.8358670500653618,-0.34654746585711993,-0.45140166247317176
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.01,478,3298.3,45.90443686006826,31.818181818181817,37.6800606520091,53.56502688707428,69.0968443960827,43.00303558967784,58.88032642278045,49.733333333333334,51.935483870967744,1.2884248620570784,623.7060676344951,-0.20579018006082922,-1.0660758372277066,-0.5186213281215118,-0.6359330086442679
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.02,48,332.0,45.81911262798635,32.82828282828283,37.60424564063685,53.47540330611432,69.47769314472254,43.03446049127815,57.29663958297317,48.5,54.36241610738255,1.1580292182492993,634.4298814882741,-0.15826810801160365,-0.634801635798419,-0.3315530272068092,-0.3965348719050113
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.02,96,664.0,45.648464163822524,32.82828282828283,38.43821076573162,53.485361481776536,69.36887921653971,42.90147604657458,58.87157187373945,51.33333333333333,56.25,1.4308364994198597,601.6106574494307,0.13930127830609532,-0.6696298267730763,-0.15485548717723982,-0.2651642742334905
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.02,144,996.0,45.73378839590443,31.313131313131315,37.90750568612585,53.44552877912766,69.42328618063112,43.11758354401458,57.99855494532286,51.633333333333326,52.614379084967325,1.527057420680831,619.0429648838906,-0.17264470754040384,-0.9603458558944076,-0.45908148876004157,-0.5664952817174057
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.02,192,1328.0,45.989761092150175,30.808080808080806,37.6800606520091,53.4654451304521,69.0968443960827,43.10550903455304,56.839519142541796,51.03333333333333,54.421768707483,1.7275903119986469,617.2306824356394,-0.4718054464933642,-0.8048764824974646,-0.5929221868584916,-0.6383409644954143
qwen3,0.6b,ultrafeedback_binarized,1e-06,0.02,240,1660.0,45.989761092150175,31.313131313131315,37.45261561789234,53.42561242780322,69.31447225244831,43.103689799103314,58.51562742412355,53.199999999999996,56.209150326797385,1.670978021538441,640.2825559031725,0.0735767101648481,-0.6396796821001545,-0.1857892506587892,-0.28305148596765317
