family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
llama,1b,1e-06,0.01,200,681.9,39.93174061433447,29.29292929292929,14.783927217589085,64.90738896634136,74.9727965179543,40.998700022819456,53.90441805520463,48.86666666666666,54.729729729729726,0.1372878957912619,553.0305458517039
llama,1b,1e-06,0.01,400,1363.8,39.50511945392491,26.767676767676768,14.329037149355573,65.55467038438559,75.24483133841132,41.41820479723065,53.48602818299888,48.99999999999999,60.273972602739725,0.1131698795527174,533.7001807674097
llama,1b,1e-06,0.01,600,2045.7,40.1877133105802,28.78787878787879,15.011372251705838,65.88329018123879,75.40805223068553,41.60120759470734,50.796996413959405,48.43333333333333,65.97222222222221,0.1008001979333833,585.7573569696945
llama,1b,1e-06,0.01,800,2727.6,39.93174061433447,26.262626262626267,15.08718726307809,66.07249551882094,75.24483133841132,41.59110729322996,50.53846017455905,47.766666666666666,63.85135135135135,0.1470578437701925,595.2012559700036
llama,1b,1e-06,0.01,1000,3409.5,39.67576791808874,26.767676767676768,15.99696739954511,66.25174268074089,75.24483133841132,41.698712421646064,50.42731064686144,50.4,61.11111111111112,0.098135247769127,608.9941537809457
llama,1b,1e-06,0.01,1200,4091.4,40.27303754266212,27.27272727272727,15.08718726307809,66.23182632941645,75.40805223068553,41.61672695345561,49.91273155228127,48.56666666666666,68.30985915492957,0.1652332741172629,595.2857102204274
llama,1b,1e-06,0.01,1400,4773.3,40.1877133105802,29.7979797979798,15.314632297194844,66.10237004580762,75.1360174102285,41.62040193129819,50.45102550122563,48.03333333333333,68.79432624113475,0.1505426752405772,559.776737451477
llama,1b,1e-06,0.01,1600,5455.2,39.84641638225256,28.28282828282828,15.390447308567095,66.18203545110536,75.40805223068553,41.619525017654944,50.03762239746096,47.96666666666666,67.73049645390071,0.1404751534203244,586.8077278422425
llama,1b,1e-06,0.01,1800,6137.1,40.01706484641638,28.28282828282828,15.845337376800606,66.14220274845648,75.1360174102285,41.63998088964041,50.383593310194726,52.73333333333333,64.90066225165563,0.1011341347001567,579.2950795238379
llama,1b,1e-06,0.01,2000,6819.0,40.1877133105802,28.28282828282828,15.238817285822591,66.20195180242979,75.0272034820457,41.61867183871502,49.01971214156217,49.66666666666666,72.6027397260274,0.0995022690228266,626.2670272605557
llama,1b,1e-06,0.01,2031,6924.7,39.84641638225256,27.77777777777778,15.693707354056102,66.14220274845648,75.1904243743199,41.592358023424126,49.58925650607056,46.56666666666666,65.49295774647888,0.1007825232402049,594.9710521014426
llama,1b,1e-06,0.02,200,684.5,39.67576791808874,27.77777777777778,14.404852160727824,65.02688707428798,75.0816104461371,41.07279401941888,54.633816052518426,50.03333333333333,51.70068027210885,0.1099237966791673,534.5776378056712
llama,1b,1e-06,0.02,400,1368.9,39.93174061433447,27.77777777777778,14.556482183472328,65.55467038438559,75.1904243743199,41.37336151996202,52.3919311870282,49.6,55.66666666666666,0.145517873177552,553.1682120874224
llama,1b,1e-06,0.02,600,2053.4,40.01706484641638,27.77777777777778,15.08718726307809,65.87333200557659,75.1904243743199,41.61998628812719,51.96478676578147,47.03333333333333,61.37931034482759,0.1516853643571129,594.4331581262692
llama,1b,1e-06,0.02,800,2737.9,40.1877133105802,27.77777777777778,15.5420773313116,66.06253734315874,75.0816104461371,41.574121313612245,51.60756791978617,49.2,67.46575342465754,0.1027144552402393,581.6244367059315
llama,1b,1e-06,0.02,1000,3422.3,40.1023890784983,28.28282828282828,15.693707354056102,66.17207727544314,75.1360174102285,41.65864029890461,50.617140298851496,49.43333333333334,68.02721088435374,0.1430058408579196,599.2806233422664
llama,1b,1e-06,0.02,1200,4106.8,40.1023890784983,28.28282828282828,14.935557240333583,66.06253734315874,74.9183895538629,41.69085551167073,50.64212954959507,48.06666666666666,60.40268456375839,0.1078583679511356,616.0519495908095
llama,1b,1e-06,0.02,1400,4791.3,39.84641638225256,28.78787878787879,15.011372251705838,66.19199362676757,75.24483133841132,41.7125451596272,51.34903168038583,48.7,65.95744680851064,0.0818823179688249,593.316628501055
llama,1b,1e-06,0.02,1600,5475.7,40.01706484641638,27.77777777777778,15.5420773313116,66.00278828918542,75.0272034820457,41.70012823655232,51.08301528832386,49.36666666666667,67.8082191780822,0.0846634164343703,597.3204470407798
llama,1b,1e-06,0.02,1800,6160.2,39.93174061433447,29.29292929292929,15.5420773313116,66.17207727544314,75.0272034820457,41.67793043254101,50.42980403108197,48.56666666666666,66.89655172413794,0.0541097012219433,622.0301667131849
llama,1b,1e-06,0.02,2000,6844.7,40.44368600682594,27.77777777777778,15.08718726307809,66.07249551882094,75.0816104461371,41.68944855775803,50.464766818707695,46.6,66.88741721854305,0.1393111664685868,583.2847974865101
llama,1b,1e-06,0.02,2031,6950.8,40.01706484641638,27.77777777777778,15.238817285822591,66.08245369448316,75.1904243743199,41.65658673121542,50.90814594165703,48.133333333333326,64.04109589041096,0.200072480885302,573.4047791392829
